Plot,year_2019,year_2020,year_2021,year_2022,year_2023,year_2024,historical_avg,historical_SEM
05. Summit,6,8,7,6,9,10,7.2,0.58
01. Edgewood,9,8,10,8,10,8,9,0.45
12. North Ridge,6,7,3,2,9,8,5.4,1.29
13. Medical,1,2,3,3,5,8,2.8,0.66
06. Nike,4,4,5,3,5,8,4.2,0.37
07. Quarry,3,4,6,4,8,8,5,0.89
09. Historic II,2,6,2,3,4,8,3.4,0.75
04. Mystery,1,5,3,4,3,7,3.2,0.66
03. East Ridge,4,8,4,1,8,6,5,1.34
02. Fairy Gates,8,8,8,5,8,5,7.4,0.60
10. Historic III,1,4,1,6,9,4,4.2,1.53
11. Historic IV,5,5,4,5,7,4,5.2,0.49
08. Historic I,3,4,2,2,7,4,3.6,0.93