"","Plot","Date","Shannon_Diversity"
"1","1. Edgewood","01/21/2024",2.13833305950803
"2","1. Edgewood","02/18/2024",2.66539415998339
"3","1. Edgewood","03/04/2024",2.26238625418332
"4","1. Edgewood","03/18/2024",2.08966804680737
"5","1. Edgewood","04/21/2024",2.49149372187944
"6","1. Edgewood","06/06/2024",2.18375402213711
"7","1. Edgewood","06/19/2024",2.63133752802733
"8","1. Edgewood","07/08/2024",2.53259116080112
"9","1. Edgewood","07/28/2024",2.1986289046105
"10","1. Edgewood","08/01/2024",2.51558339334683
"11","1. Edgewood","08/25/2024",2.34199425223243
"12","1. Edgewood","09/01/2024",2.47622064959816
"13","1. Edgewood","09/22/2024",2.34199425223242
"14","1. Edgewood","1/7/2024",1.58109375017182
"15","1. Edgewood","10/20/2024",2.75110228938637
"16","1. Edgewood","10/6/2024",2.60238077993248
"17","1. Edgewood","11/14/2024",2.24297322643815
"18","1. Edgewood","11/3/2024",1.74786809746676
"19","1. Edgewood","12/1/2024",2.50702643555742
"20","1. Edgewood","12/8/2024",2.57962467360858
"21","1. Edgewood","2/5/2024",2.21025357762097
"22","1. Edgewood","4/7/2024",2.44121452910603
"23","1. Edgewood","5/19/2024",1.8419963797843
"24","1. Edgewood","5/8/2024",2.31315367873363
"25","10. Historic III","01/21/2024",1.98133251472398
"26","10. Historic III","02/18/2024",1.69574253416963
"27","10. Historic III","03/04/2024",2.42601513195981
"28","10. Historic III","03/18/2024",2.04485880136326
"29","10. Historic III","04/21/2024",2.35167330190463
"30","10. Historic III","06/06/2024",1.49417513828931
"31","10. Historic III","06/19/2024",1.88487133357816
"32","10. Historic III","07/08/2024",2.14584175259475
"33","10. Historic III","07/28/2024",1.58325845942048
"34","10. Historic III","08/01/2024",0.950270539233235
"35","10. Historic III","08/25/2024",1.80189240065887
"36","10. Historic III","09/01/2024",0.796311640173813
"37","10. Historic III","09/22/2024",2.00755630743784
"38","10. Historic III","1/7/2024",2.04319187054512
"39","10. Historic III","10/20/2024",2.60218779531926
"40","10. Historic III","10/6/2024",2.14395220064387
"41","10. Historic III","11/14/2024",2.43712464631452
"42","10. Historic III","11/3/2024",1.76776147228933
"43","10. Historic III","12/1/2024",2.0228085294147
"44","10. Historic III","12/8/2024",2.44973395001248
"45","10. Historic III","2/5/2024",1.74806734854609
"46","10. Historic III","4/7/2024",2.33837170480357
"47","10. Historic III","5/19/2024",2.11653105351784
"48","10. Historic III","5/8/2024",2.24503527412618
"49","11. Historic IV","01/21/2024",1.73286795139986
"50","11. Historic IV","02/18/2024",1.76776147228933
"51","11. Historic IV","03/04/2024",2.03175921856927
"52","11. Historic IV","03/18/2024",2.43079132887823
"53","11. Historic IV","04/21/2024",2.34393298130802
"54","11. Historic IV","06/06/2024",1.38629436111989
"55","11. Historic IV","06/19/2024",2.08376603748565
"56","11. Historic IV","07/08/2024",1.67262544615032
"57","11. Historic IV","07/28/2024",1.92739212613927
"58","11. Historic IV","08/01/2024",1.33217904021012
"59","11. Historic IV","08/25/2024",2.39470040585833
"60","11. Historic IV","09/01/2024",2.19722457733622
"61","11. Historic IV","09/22/2024",2.00755630743784
"62","11. Historic IV","1/7/2024",1.38629436111989
"63","11. Historic IV","10/20/2024",2.24503527412618
"64","11. Historic IV","10/6/2024",1.73286795139986
"65","11. Historic IV","11/14/2024",2.21106887114461
"66","11. Historic IV","11/3/2024",1.09861228866811
"67","11. Historic IV","12/1/2024",1.38629436111989
"68","11. Historic IV","12/8/2024",2.30666872540453
"69","11. Historic IV","2/5/2024",2.01981499249295
"70","11. Historic IV","4/7/2024",2.04673853269455
"71","11. Historic IV","5/19/2024",1.95354925882914
"72","11. Historic IV","5/8/2024",1.83437197028162
"73","12. North Ridge","01/21/2024",1.49417513828931
"74","12. North Ridge","02/18/2024",2.09929279993392
"75","12. North Ridge","03/04/2024",1.88669678465808
"76","12. North Ridge","03/18/2024",1.74786809746676
"77","12. North Ridge","04/21/2024",2.33837170480357
"78","12. North Ridge","06/06/2024",1.242453324894
"79","12. North Ridge","06/19/2024",2.04624093073851
"80","12. North Ridge","07/08/2024",1.96523704938023
"81","12. North Ridge","07/28/2024",2.33454910921257
"82","12. North Ridge","08/01/2024",2.0228085294147
"83","12. North Ridge","08/25/2024",2.42698403071837
"84","12. North Ridge","09/01/2024",1.49718135801135
"85","12. North Ridge","09/22/2024",2.43079132887823
"86","12. North Ridge","1/7/2024",2.28368677567471
"87","12. North Ridge","10/20/2024",2.04319187054512
"88","12. North Ridge","10/6/2024",1.09861228866811
"89","12. North Ridge","11/14/2024",2.04319187054512
"90","12. North Ridge","11/3/2024",1.88915916375402
"91","12. North Ridge","12/1/2024",1.03972077083992
"92","12. North Ridge","12/8/2024",1.73798344858705
"93","12. North Ridge","2/5/2024",1.56071040904141
"94","12. North Ridge","4/7/2024",2.47912243650939
"95","12. North Ridge","5/19/2024",2.79725231846913
"96","12. North Ridge","5/8/2024",2.02622962299529
"97","13. Medical","01/21/2024",1.863679987341
"98","13. Medical","02/18/2024",1.56071040904141
"99","13. Medical","03/04/2024",1.5498260458782
"100","13. Medical","03/18/2024",1.84688912326104
"101","13. Medical","04/21/2024",2.09827373952525
"102","13. Medical","06/06/2024",1.56071040904141
"103","13. Medical","06/19/2024",1.97920451743432
"104","13. Medical","07/08/2024",1.863679987341
"105","13. Medical","07/28/2024",1.38629436111989
"106","13. Medical","08/01/2024",0
"107","13. Medical","08/25/2024",0.693147180559945
"108","13. Medical","09/01/2024",1.03972077083992
"109","13. Medical","09/22/2024",1.03972077083992
"110","13. Medical","1/7/2024",1.74786809746676
"111","13. Medical","10/20/2024",1.73286795139986
"112","13. Medical","10/6/2024",1.5498260458782
"113","13. Medical","11/14/2024",1.22060726455302
"114","13. Medical","11/3/2024",1.56071040904141
"115","13. Medical","12/1/2024",1.79175946922805
"116","13. Medical","12/8/2024",1.89378823239114
"117","13. Medical","2/5/2024",1.38629436111989
"118","13. Medical","4/7/2024",1.67262544615032
"119","13. Medical","5/19/2024",1.83437197028162
"120","13. Medical","5/8/2024",1.2130075659799
"121","2. Fairy Gates","01/21/2024",2.51641030015394
"122","2. Fairy Gates","02/18/2024",1.88915916375402
"123","2. Fairy Gates","03/04/2024",2.11864924706995
"124","2. Fairy Gates","03/18/2024",2.46283739594939
"125","2. Fairy Gates","04/21/2024",2.24595208072891
"126","2. Fairy Gates","06/06/2024",2.32218794280707
"127","2. Fairy Gates","06/19/2024",2.19922481438963
"128","2. Fairy Gates","07/08/2024",2.67011988980682
"129","2. Fairy Gates","07/28/2024",2.24595208072891
"130","2. Fairy Gates","08/01/2024",1.88669678465808
"131","2. Fairy Gates","08/25/2024",2.42547970843272
"132","2. Fairy Gates","09/01/2024",1.73798344858705
"133","2. Fairy Gates","09/22/2024",2.22002532783454
"134","2. Fairy Gates","1/7/2024",2.04319187054512
"135","2. Fairy Gates","10/20/2024",2.10657733323212
"136","2. Fairy Gates","10/6/2024",2.26352987314321
"137","2. Fairy Gates","11/14/2024",1.94591014905531
"138","2. Fairy Gates","11/3/2024",1.56071040904141
"139","2. Fairy Gates","12/1/2024",1.74786809746676
"140","2. Fairy Gates","12/8/2024",2.27830252503913
"141","2. Fairy Gates","2/5/2024",1.89036277533887
"142","2. Fairy Gates","4/7/2024",2.30666872540453
"143","2. Fairy Gates","5/19/2024",2.42698403071837
"144","2. Fairy Gates","5/8/2024",2.4410152780267
"145","3. East Ridge","01/21/2024",1.09861228866811
"146","3. East Ridge","02/18/2024",2.04319187054512
"147","3. East Ridge","03/04/2024",2.40615957539782
"148","3. East Ridge","03/18/2024",2.24517158941152
"149","3. East Ridge","04/21/2024",2.30565733829864
"150","3. East Ridge","06/06/2024",2.4843668399738
"151","3. East Ridge","06/19/2024",2.21106887114461
"152","3. East Ridge","07/08/2024",2.13833305950803
"153","3. East Ridge","07/28/2024",1.80763165619193
"154","3. East Ridge","08/01/2024",2.11864924706995
"155","3. East Ridge","08/25/2024",1.72019345921983
"156","3. East Ridge","09/01/2024",2.25385758960135
"157","3. East Ridge","09/22/2024",2.00755630743784
"158","3. East Ridge","1/7/2024",1.5498260458782
"159","3. East Ridge","10/20/2024",1.83437197028162
"160","3. East Ridge","10/6/2024",0
"161","3. East Ridge","11/14/2024",2.52392203290018
"162","3. East Ridge","11/3/2024",1.03972077083992
"163","3. East Ridge","12/1/2024",1.33217904021012
"164","3. East Ridge","12/8/2024",1.09861228866811
"165","3. East Ridge","2/5/2024",1.09861228866811
"166","3. East Ridge","4/7/2024",2.13839724634772
"167","3. East Ridge","5/19/2024",2.08850161933547
"168","3. East Ridge","5/8/2024",1.09861228866811
"169","4. Mystery","01/21/2024",1.97018144002608
"170","4. Mystery","02/18/2024",2.07944154167984
"171","4. Mystery","03/04/2024",1.98120755073562
"172","4. Mystery","03/18/2024",1.61696987922282
"173","4. Mystery","04/21/2024",2.52392203290018
"174","4. Mystery","06/06/2024",2.20515510119946
"175","4. Mystery","06/19/2024",2.01981499249295
"176","4. Mystery","07/08/2024",2.33837170480357
"177","4. Mystery","07/28/2024",1.80650716526167
"178","4. Mystery","08/01/2024",2.4843668399738
"179","4. Mystery","08/25/2024",2.23269447718707
"180","4. Mystery","09/01/2024",1.90853528164356
"181","4. Mystery","09/22/2024",2.55208529762097
"182","4. Mystery","1/7/2024",1.6094379124341
"183","4. Mystery","10/20/2024",2.24503527412618
"184","4. Mystery","10/6/2024",2.30461938482067
"185","4. Mystery","11/14/2024",2.66453161331023
"186","4. Mystery","11/3/2024",1.32966134885476
"187","4. Mystery","12/1/2024",1.79175946922805
"188","4. Mystery","12/8/2024",2.00755630743784
"189","4. Mystery","2/5/2024",1.08219553003877
"190","4. Mystery","4/7/2024",2.34396044354948
"191","4. Mystery","5/19/2024",1.96617551714957
"192","4. Mystery","5/8/2024",2.32654325319411
"193","5. Summit","01/21/2024",1.84622021932163
"194","5. Summit","02/18/2024",1.242453324894
"195","5. Summit","03/04/2024",2.78046636893868
"196","5. Summit","03/18/2024",2.37497696419748
"197","5. Summit","04/21/2024",2.40615957539782
"198","5. Summit","06/06/2024",1.91330365675317
"199","5. Summit","06/19/2024",2.44121452910603
"200","5. Summit","07/08/2024",2.17292709150859
"201","5. Summit","07/28/2024",1.97300140639361
"202","5. Summit","08/01/2024",2.13219224008789
"203","5. Summit","08/25/2024",2.46442531764644
"204","5. Summit","09/01/2024",2.4410152780267
"205","5. Summit","09/22/2024",2.65932269770952
"206","5. Summit","1/7/2024",2.21610224809126
"207","5. Summit","10/20/2024",2.57862917389114
"208","5. Summit","10/6/2024",2.24503527412618
"209","5. Summit","11/14/2024",2.50051139652676
"210","5. Summit","11/3/2024",2.75728186619572
"211","5. Summit","12/1/2024",2.43079132887823
"212","5. Summit","12/8/2024",2.6363914389378
"213","5. Summit","2/5/2024",1.74786809746676
"214","5. Summit","4/7/2024",2.77371797502131
"215","5. Summit","5/19/2024",2.39331212297452
"216","5. Summit","5/8/2024",2.47635401983067
"217","6. Nike","01/21/2024",0.636514168294813
"218","6. Nike","02/18/2024",1.6094379124341
"219","6. Nike","03/04/2024",2.25385758960135
"220","6. Nike","03/18/2024",1.242453324894
"221","6. Nike","04/21/2024",2.25272833681982
"222","6. Nike","06/06/2024",2.01981499249295
"223","6. Nike","06/19/2024",2.28792064192888
"224","6. Nike","07/08/2024",2.30337950519394
"225","6. Nike","07/28/2024",1.55958115625988
"226","6. Nike","08/01/2024",2.02532622077007
"227","6. Nike","08/25/2024",2.02622962299529
"228","6. Nike","09/01/2024",2.47622064959816
"229","6. Nike","09/22/2024",1.51910943036232
"230","6. Nike","1/7/2024",2.14584175259475
"231","6. Nike","10/20/2024",2.04319187054512
"232","6. Nike","10/6/2024",1.38629436111989
"233","6. Nike","11/14/2024",2.58230634431397
"234","6. Nike","11/3/2024",2.11864924706995
"235","6. Nike","12/1/2024",2.30258509299405
"236","6. Nike","12/8/2024",2.38065614488421
"237","6. Nike","2/5/2024",1.38629436111989
"238","6. Nike","4/7/2024",2.34393298130802
"239","6. Nike","5/19/2024",1.97224697942344
"240","6. Nike","5/8/2024",2.506661812497
"241","7. Quarry","01/21/2024",1.09861228866811
"242","7. Quarry","02/18/2024",1.58109375017182
"243","7. Quarry","03/04/2024",1.88669678465808
"244","7. Quarry","03/18/2024",1.90615474653985
"245","7. Quarry","04/21/2024",2.44973395001248
"246","7. Quarry","06/06/2024",1.6987829895138
"247","7. Quarry","06/19/2024",2.27396571641925
"248","7. Quarry","07/08/2024",2.35125728412732
"249","7. Quarry","07/28/2024",1.46481638489081
"250","7. Quarry","08/01/2024",1.63649557288898
"251","7. Quarry","08/25/2024",1.27703425946614
"252","7. Quarry","09/01/2024",2.20559835902639
"253","7. Quarry","09/22/2024",1.88915916375402
"254","7. Quarry","1/7/2024",2.25385758960135
"255","7. Quarry","10/20/2024",2.33937173438982
"256","7. Quarry","10/6/2024",2.25385758960135
"257","7. Quarry","11/14/2024",2.30348849521927
"258","7. Quarry","11/3/2024",2.24503527412618
"259","7. Quarry","12/1/2024",2.25385758960135
"260","7. Quarry","12/8/2024",2.0514486099556
"261","7. Quarry","2/5/2024",2.15353245665425
"262","7. Quarry","4/7/2024",2.50191220744863
"263","7. Quarry","5/19/2024",2.18732231884925
"264","7. Quarry","5/8/2024",2.35125728412732
"265","8. Historic I","01/21/2024",0.950270539233235
"266","8. Historic I","02/18/2024",1.6094379124341
"267","8. Historic I","03/04/2024",2.50013802636543
"268","8. Historic I","03/18/2024",1.99150936135661
"269","8. Historic I","04/21/2024",1.88915916375402
"270","8. Historic I","06/06/2024",1.73512645696292
"271","8. Historic I","06/19/2024",2.21610224809126
"272","8. Historic I","07/08/2024",1.97224697942344
"273","8. Historic I","07/28/2024",1.88669678465808
"274","8. Historic I","08/01/2024",1.8446214763655
"275","8. Historic I","08/25/2024",2.02532622077007
"276","8. Historic I","09/01/2024",1.73512645696292
"277","8. Historic I","09/22/2024",2.24503527412618
"278","8. Historic I","1/7/2024",1.73512645696292
"279","8. Historic I","10/20/2024",2.22002532783454
"280","8. Historic I","10/6/2024",1.56071040904141
"281","8. Historic I","11/14/2024",2.62299627608579
"282","8. Historic I","11/3/2024",2.35885413889402
"283","8. Historic I","12/1/2024",0.693147180559945
"284","8. Historic I","12/8/2024",2.45820443278557
"285","8. Historic I","2/5/2024",1.58109375017182
"286","8. Historic I","4/7/2024",2.25484653037193
"287","8. Historic I","5/19/2024",1.55129222884131
"288","8. Historic I","5/8/2024",2.05789753192241
"289","9. Historic II","01/21/2024",1.90615474653985
"290","9. Historic II","02/18/2024",1.5498260458782
"291","9. Historic II","03/04/2024",1.67262544615032
"292","9. Historic II","03/18/2024",2.22002532783454
"293","9. Historic II","04/21/2024",2.26238625418332
"294","9. Historic II","06/06/2024",0.693147180559945
"295","9. Historic II","06/19/2024",1.74786809746676
"296","9. Historic II","07/08/2024",0.950270539233235
"297","9. Historic II","07/28/2024",1.56071040904141
"298","9. Historic II","08/01/2024",1.09861228866811
"299","9. Historic II","08/25/2024",2.25385758960135
"300","9. Historic II","09/01/2024",1.03972077083992
"301","9. Historic II","09/22/2024",1.90615474653985
"302","9. Historic II","1/7/2024",1.6094379124341
"303","9. Historic II","10/20/2024",2.16395565688206
"304","9. Historic II","10/6/2024",2.31315367873363
"305","9. Historic II","11/14/2024",1.74786809746676
"306","9. Historic II","11/3/2024",2.31315367873363
"307","9. Historic II","12/1/2024",1.88669678465808
"308","9. Historic II","12/8/2024",1.90728399932138
"309","9. Historic II","2/5/2024",1.88915916375402
"310","9. Historic II","4/7/2024",2.53259116080112
"311","9. Historic II","5/19/2024",2.24297322643815
"312","9. Historic II","5/8/2024",2.42601513195981
